t,c_l,c_d,d
0.0333,301.20979740156963,124.6735523100908,0.00017317098916771087
0.05,162.52366139713308,56.82303813619146,3.3655332617908364e-05
0.0667,102.13948252032952,30.799679907730216,-7.034815301089368e-05
0.0833,75.17236795629395,22.2580493948037,3.413430786462402e-05
0.1,56.095851785809266,16.550933592873637,0.0001884333929656835
0.117,42.94546727444111,11.978780562111348,-2.1234301604482268e-05
0.133,37.1963973560715,8.651879230971053,-0.00022808583076660058
0.15,33.38728317456429,7.6705043953804095,-5.255058251492476e-05
0.167,29.515670436969074,6.290099112717198,9.365994224454532e-05
0.183,27.82126766100637,3.633587855841089,7.875699332120343e-06
0.2,27.021433626776723,2.031305286554573,-5.7684375427897265e-05
0.217,25.659729435026073,1.4574419713883056,0.0003472454326469712
0.233,24.992693719067656,1.3178146807778341,0.0008827867543612097
0.25,24.990717748914204,0.9161153102795142,0.000962133352001153
0.267,25.171694359379625,-0.07349781612197673,0.0006348283930808715
0.283,26.37692550632995,-0.030405357993668593,0.00036596948012081827
0.3,26.72776189104185,0.6387238395755296,0.00024406474048341617
0.317,27.841193125453422,-0.19671077130563813,1.9550768165826074e-05
0.333,29.194495590311178,-0.9607235716410409,-0.0002718297448780957
0.35,32.3428871291402,-0.48811124025408864,0.0006326290120391069
0.367,36.20470165653678,-0.4139129300089188,0.0005111398886219307
0.383,39.190187305972344,-0.6423612876472186,0.00016098748652888385
0.4,43.786784659558336,0.0028602888693603484,0.0004045836832896081
0.417,46.84957004265395,-0.2079650007294454,0.0006527207635694852
0.433,49.512189373592065,-0.26093799765222214,0.00093985849457785
0.45,56.42535968876067,-0.24313914459854097,0.00018658706743061352
0.467,64.811510372879,-0.9550505018025052,-8.506166705908306e-05
0.483,77.35131185795493,-1.0705253144181384,-0.00021069395469378488
0.5,96.15231727735205,-0.19596079991983975,-0.00047588327017063345
0.517,126.22959542920658,0.9542090860685856,-0.0004981310307867699
0.533,174.57570443737802,4.223107397324426,-0.0003192260705920492
0.55,249.74119656048063,11.689798841598549,8.380380307683211e-05
0.567,383.3945928263594,22.974661550390525,0.00015443365203613368
0.583,762.6296627025057,56.91866766335552,0.00016837059721231087
0.6,14648.624090040457,1443.4493093288686,0.00010055125934675598
0.617,-1491.1155914409328,-174.10944135510255,-4.042587336984723e-06
0.633,0.00014915618071066405,-18.749640171787572,1582.004793433383
0.65,-516.6070400973044,-83.65897020988963,4.6033637878958405e-05
0.667,-366.126640475814,-68.01472068386087,0.00036564367759717425
0.683,-262.69560670913296,-62.68456648172982,0.000852517846500804
0.7,-198.15266830324262,-62.30087977960529,0.0015693531239964029
0.717,-155.38958434865395,-72.28270593400764,0.0017073132175109069
0.733,-123.66394634845132,-79.78316171208624,0.0021092537889039063
0.75,-107.84243675430218,-100.31579291072921,-0.003802417497585847
0.767,-98.41215295881372,-187.05649172711347,-0.00319628667325108
0.783,-412.31780095792436,-3432.546078422534,2.288410461363844
0.8,-41.85029351818065,146.92894462675784,0.05061330912648151
0.817,-41.70684408731224,70.95266817148968,0.020035879925704884
0.833,-42.09799557374139,39.10781485098253,0.012017268291577992
0.85,-38.08522224579192,30.7252461179598,0.008551659314067286
0.867,-33.931047288391696,23.81112750989271,0.006682161158870885
0.883,-29.685834310921557,27.58435070829746,0.009707436620388518
0.9,-26.283960737415068,21.52564555340784,0.008621642558783726
0.917,-24.00877361925805,15.39619087383054,0.007605123739760261
0.933,-22.701914335141222,10.473455576785371,0.005839843625747018
0.95,-21.480208474148217,8.031318650613725,0.005981347063374051
0.967,-18.994380820845446,5.915825422460396,0.005813136311752389
0.983,-17.68633797795474,3.281006576373776,0.0021177804532373653
1.0,-17.157010680346396,1.1950182014895834,0.00017660193322305436
1.02,-16.15565642305098,6.359076343443801,0.005985197634234511
1.03,-15.450085198316401,5.838665993503903,0.006166815497247148
1.05,-15.803525024825646,0.9675631292972857,0.0017196739547503692
