t,x,y,z
0.00000000,0.39379388,0.87894370,1.00292333
0.01666670,0.32076305,0.95620205,1.02637505
0.03333340,0.29785426,1.01031236,1.05925403
0.05000010,0.27863873,1.06572339,1.10574879
0.06666680,0.26416261,1.11873422,1.15254118
0.08333350,0.24597017,1.17441604,1.19702577
0.10000020,0.23058320,1.22956764,1.24213480
0.11666690,0.20821119,1.28965924,1.29229648
0.13333360,0.18386581,1.34802587,1.33787721
0.15000030,0.15880152,1.40364589,1.38038138
0.16666700,0.14059833,1.45731699,1.42443141
0.18333370,0.12797789,1.50982353,1.46881033
0.20000040,0.11852731,1.55837212,1.52041560
0.21666710,0.10969689,1.60320161,1.57110617
0.23333380,0.10676686,1.64530702,1.61904652
0.25000050,0.10454768,1.68284855,1.66742400
0.26666720,0.10339003,1.71983655,1.70737248
0.28333390,0.10051452,1.75128906,1.73734890
0.30000060,0.09867804,1.77942475,1.76651876
0.31666730,0.09675028,1.80740833,1.79172842
0.33333400,0.09518585,1.83508873,1.81947617
0.35000070,0.09927735,1.86053148,1.84157078
0.36666740,0.10398527,1.88500185,1.86445055
0.38333410,0.10563687,1.90536654,1.88505807
0.40000080,0.10746347,1.92279616,1.90220104
0.41666750,0.10845715,1.93832932,1.91424012
0.43333420,0.11149910,1.95279892,1.92049975
0.45000090,0.11069902,1.96412766,1.92512786
0.46666760,0.10902080,1.97402485,1.92239132
0.48333430,0.10536931,1.98044779,1.91712607
0.50000100,0.10229946,1.98706111,1.90848164
0.51666770,0.09872786,1.99049462,1.89146869
0.53333440,0.09914807,1.99819802,1.87787824
0.55000110,0.10327614,2.00627016,1.86267992
0.56666780,0.10601423,2.01484632,1.84220973
0.58333450,0.10147562,2.01685431,1.82304271
0.60000120,0.09951607,2.01927622,1.79944561
0.61666790,0.09778543,2.02259531,1.76775586
0.63333460,0.09547361,2.02037687,1.73094990
0.65000130,0.08950991,2.01709027,1.69273645
0.66666800,0.08297922,2.01556554,1.66350783
0.68333470,0.07470910,2.01098511,1.63033381
0.70000140,0.06663067,2.00401145,1.59327065
0.71666810,0.05886021,1.99440191,1.55415313
0.73333480,0.05119382,1.98201933,1.50612543
0.75000150,0.04397941,1.96989869,1.45750399
0.76666820,0.03984251,1.96044599,1.40616110
0.78333490,0.03577466,1.94761443,1.35540751
0.80000160,0.03554738,1.93216769,1.30328230
0.81666830,0.03390178,1.91142496,1.24562536
0.83333500,0.03445603,1.88900314,1.18298351
0.85000170,0.03479638,1.85723966,1.12058904
0.86666840,0.03140444,1.82681512,1.06934226
0.88333510,0.02510703,1.79357531,1.02720314
0.90000180,0.02692691,1.74369596,0.96048217
0.91666850,0.03013081,1.69201336,0.89774212
0.93333520,0.03498700,1.63377379,0.83759749
0.95000190,0.03991924,1.57136489,0.77163539
0.96666860,0.04840932,1.50805060,0.70884508
0.98333530,0.06712410,1.43575572,0.64131074
1.00000200,0.08610485,1.36070392,0.57354634
1.01666870,0.11382444,1.27483742,0.50608152
1.03333540,0.14283408,1.19117816,0.44430667
1.05000210,0.17967274,1.09119668,0.38305598
