t,x,y,z
0.00000000,0.26259303,0.81251320,0.90610076
0.01666665,0.26273881,0.86204982,0.91913426
0.03333329,0.25581020,0.96898542,0.92699424
0.04999994,0.25187146,1.01853418,0.93536857
0.06666658,0.26285163,1.10895902,0.97746234
0.08333323,0.26964830,1.17710456,1.01782940
0.09999987,0.27958186,1.25672569,1.05200107
0.11666652,0.28588562,1.32423221,1.09200345
0.13333316,0.29240547,1.40481926,1.13559351
0.14999981,0.29606329,1.47253970,1.17643722
0.16666645,0.30291051,1.55069813,1.21444420
0.18333310,0.30868566,1.61999709,1.25409505
0.19999974,0.32789926,1.69318518,1.29309473
0.21666639,0.34154798,1.75491705,1.33899211
0.23333303,0.36758587,1.81746589,1.37974080
0.24999968,0.38636911,1.87323341,1.42410032
0.26666632,0.41076205,1.92736482,1.45999076
0.28333297,0.42838904,1.96620056,1.48600015
0.29999962,0.44864042,2.00487813,1.50295413
0.31666626,0.46435249,2.04494059,1.53635977
0.33333291,0.47956348,2.08861137,1.56330615
0.34999955,0.49048665,2.12493793,1.58738091
0.36666620,0.50863111,2.16534379,1.61119900
0.38333284,0.52368424,2.19912837,1.63666512
0.39999949,0.54740607,2.23094639,1.64677216
0.41666613,0.56500804,2.25791049,1.65947853
0.43333278,0.59157960,2.28371276,1.66121704
0.44999942,0.61256537,2.30888162,1.66690593
0.46666607,0.63738995,2.32528064,1.66354470
0.48333271,0.66047143,2.34182983,1.66001621
0.49999936,0.67798332,2.35498570,1.65728875
0.51666600,0.69839631,2.37104896,1.65515028
0.53333265,0.71359748,2.38324035,1.64153575
0.54999930,0.73540464,2.39492392,1.61956622
0.56666594,0.75299694,2.40520875,1.60158889
0.58333259,0.78247774,2.41635649,1.58195534
0.59999923,0.80434871,2.42703840,1.55563557
0.61666588,0.83754299,2.43176373,1.52536819
0.63333252,0.86135012,2.43460349,1.48857897
0.64999917,0.89005193,2.43201851,1.44796340
0.66666581,0.91285011,2.42773079,1.41371010
0.68333246,0.94063918,2.41996177,1.37040601
0.69999910,0.96212294,2.41300886,1.33512854
0.71666575,0.98943448,2.39667364,1.28928340
0.73333239,1.00874904,2.37875073,1.24122275
0.74999904,1.03744914,2.36110975,1.19338716
0.76666568,1.06118431,2.34761438,1.14755372
0.78333233,1.10210920,2.33065111,1.10045798
0.79999897,1.13344852,2.30654978,1.03786612
0.81666562,1.18597351,2.27285685,0.97857672
0.83333227,1.22425112,2.24319128,0.91624306
0.84999891,1.27765281,2.19824525,0.85443875
0.86666556,1.31590984,2.15569323,0.79759163
0.88333220,1.36885887,2.09299277,0.73162040
0.89999885,1.40727948,2.03299879,0.66356159
0.91666549,1.45651034,1.95941379,0.59946390
0.93333214,1.49105038,1.88378490,0.53098407
0.94999878,1.53984740,1.79526730,0.46842577
0.96666543,1.57334146,1.72631986,0.41475003
0.98333207,1.62801447,1.64144287,0.35664283
0.99999872,1.67532597,1.55630001,0.29713455
1.01666536,1.74723077,1.45579878,0.23661571
1.03333201,1.81031188,1.36228554,0.18264820
1.04999865,1.89108808,1.25669518,0.12164462
1.06666530,1.93600565,1.14479747,0.06552336
