t,x,y,z
0.01666667,0.09924723,0.80803335,0.95824878
0.03333334,0.09313113,0.93946128,0.98306965
0.05000000,0.08905660,0.97604559,1.01176659
0.06666667,0.08623169,1.03707002,1.04577715
0.08333333,0.09545648,1.10552150,1.09400331
0.10000000,0.09871173,1.15639714,1.14602224
0.11666667,0.10060279,1.20629516,1.18420895
0.13333333,0.10048148,1.24914609,1.23031751
0.15000000,0.09948487,1.29434389,1.27592984
0.16666666,0.09764592,1.33556154,1.32858091
0.18333333,0.10145879,1.37427862,1.38710010
0.20000000,0.09694143,1.41499269,1.43466160
0.21666666,0.09667302,1.45425528,1.46802003
0.23333333,0.09492664,1.48745401,1.51773483
0.24999999,0.09574381,1.51966968,1.56537457
0.26666666,0.09681910,1.54799281,1.61271026
0.28333333,0.09401128,1.57124570,1.65198691
0.29999999,0.10009031,1.59386834,1.68783846
0.31666666,0.10247654,1.61363295,1.71583810
0.33333332,0.10116352,1.62789458,1.73194744
0.34999999,0.09483105,1.64096846,1.73857193
0.36666666,0.09002482,1.65155753,1.74567538
0.38333332,0.08796885,1.66448762,1.76133134
0.39999999,0.07861074,1.67569503,1.77706777
0.41666665,0.07665695,1.68679108,1.78917469
0.43333332,0.07493972,1.69451551,1.79331549
0.44999998,0.06632481,1.70472007,1.79042904
0.46666665,0.05940198,1.71219394,1.78161126
0.48333332,0.05157819,1.71670272,1.76643627
0.49999998,0.04536819,1.72112385,1.74664007
0.51666665,0.04550189,1.72475867,1.71817877
0.53333331,0.03462673,1.72910515,1.70627948
0.54999998,0.01661176,1.72861407,1.67177050
0.56666665,0.00329480,1.72619253,1.62651119
0.58333331,-0.01345106,1.72198298,1.58770734
0.59999998,-0.03061578,1.71927669,1.55973866
0.61666664,-0.04994455,1.71181239,1.52256484
0.63333331,-0.07527477,1.70299280,1.48358348
0.64999998,-0.10384990,1.69189637,1.43800574
0.66666664,-0.12980330,1.67724956,1.38193635
0.68333331,-0.16044312,1.66409341,1.34143342
0.69999997,-0.18088614,1.64833082,1.29845953
0.71666664,-0.21037859,1.63162093,1.24881694
0.73333331,-0.23414259,1.61281237,1.19839344
0.74999997,-0.27162408,1.58657770,1.13400122
0.76666664,-0.29651316,1.56252357,1.07610546
0.78333330,-0.34249233,1.52384756,1.00614989
0.79999997,-0.38137327,1.48401623,0.92513946
0.81666664,-0.44201427,1.42419658,0.83583669
0.83333330,-0.49483844,1.36634369,0.75855936
0.84999997,-0.55905078,1.29995129,0.68684804
0.86666663,-0.62789423,1.21943826,0.61019101
0.88333330,-0.68273471,1.13097041,0.53252184
