t,x,y,z
0.00000000,0.41417780,0.60179648,0.93784444
0.01800000,0.30432817,0.72487311,0.90087594
0.03600000,0.29451919,0.76535089,0.92292929
0.05400000,0.27453818,0.83343223,0.93658379
0.07200000,0.27915416,0.90639237,0.94968865
0.09000000,0.28980312,0.99288819,0.97462853
0.10800000,0.28348236,1.07881155,1.01007907
0.12600000,0.28140780,1.16609290,1.05432513
0.14400000,0.28236414,1.25164112,1.10704259
0.16200000,0.28530052,1.32991704,1.15606270
0.18000000,0.27494375,1.41127178,1.20000240
0.19800000,0.27245059,1.49059183,1.24524943
0.21600000,0.28180487,1.56186378,1.28915773
0.23400000,0.28875212,1.62881774,1.34063745
0.25200000,0.29748167,1.69008408,1.40356750
0.27000000,0.31007638,1.74871084,1.45807640
0.28800000,0.33275102,1.80373365,1.50639249
0.30600000,0.34051198,1.84691749,1.54004065
0.32400000,0.34790995,1.88609024,1.56928098
0.34200000,0.35082829,1.92452196,1.60860964
0.36000000,0.35369552,1.95656883,1.63952497
0.37800000,0.36083507,1.99084591,1.66678967
0.39600000,0.37100940,2.02541124,1.68986154
0.41400000,0.38488693,2.06245168,1.71880885
0.43200000,0.40744728,2.09286210,1.74380998
0.45000000,0.42073857,2.11346145,1.75763009
0.46800000,0.43369756,2.13111963,1.76341047
0.48600000,0.44070695,2.14380071,1.75459520
0.50400000,0.44833214,2.15514616,1.75294534
0.52200000,0.45158122,2.17256986,1.77026351
0.54000000,0.45453023,2.18701082,1.77477319
0.55800000,0.46453640,2.19793972,1.76084055
0.57600000,0.47724236,2.20867260,1.75024031
0.59400000,0.49231585,2.21969684,1.74023728
0.61200000,0.50598332,2.22779161,1.72051450
0.63000000,0.52110580,2.23402121,1.70267195
0.64800000,0.53099460,2.23087530,1.65618433
0.66600000,0.54124713,2.22606178,1.61492775
0.68400000,0.54770412,2.21787722,1.57793312
0.70200000,0.55347845,2.21179868,1.55239436
0.72000000,0.55847922,2.20692595,1.52589848
0.73800000,0.56294731,2.19721153,1.48475876
0.75600000,0.57660699,2.18495734,1.44044658
0.77400000,0.58887497,2.17486736,1.39533383
0.79200000,0.61358437,2.15990865,1.34953760
0.81000000,0.63876360,2.13614526,1.29903206
0.82800000,0.66151793,2.10699163,1.24279615
0.84600000,0.67435993,2.06768781,1.17643575
0.86400000,0.72132254,2.02549270,1.10981912
0.88200000,0.73498370,1.97011892,1.04571137
0.90000000,0.74812287,1.91438553,0.98677775
0.91800000,0.75519511,1.85549562,0.92955923
0.93600000,0.76073667,1.79523307,0.86528555
0.95400000,0.78794430,1.72233229,0.80803694
0.97200000,0.81977051,1.64904607,0.74757399
0.99000000,0.85608466,1.56693177,0.68477206
1.00800000,0.89294912,1.47167585,0.61924498
1.02600000,0.94943723,1.38162981,0.56081578
1.04400000,0.99882843,1.27448835,0.49804140
1.06200000,1.03348316,1.16446062,0.43094870
1.08000000,1.06529135,1.08788949,0.37678284
1.09800000,1.09295906,1.04182254,0.34058325
1.11600000,1.11729685,1.02017715,0.31881912
1.13400000,1.13913720,1.01684792,0.30788160
1.15200000,1.15931260,1.02572948,0.30416181
1.17000000,1.17865551,1.04071643,0.30405089
