t,x,y,z
0.3166667,0.185463367,0.95374196,0.96755979
0.3333333,0.14406813,1.214748233,0.98200953
0.35,0.153714973,1.233985017,1.000071711
0.3666667,0.153070973,1.2558315,1.06148312
0.3833333,0.148593097,1.294416267,1.1012199
0.4,0.143984603,1.382659183,1.1373443
0.4166667,0.12791958,1.421984967,1.1879184
0.4333333,0.11191578,1.45946315,1.1951432
0.45,0.109380197,1.544730333,1.2168179
0.4666667,0.064297803,1.647834133,1.267392
0.4833333,0.12235403,1.722161417,1.2962914
0.5,0.123669163,1.738281567,1.3215785
0.5166667,0.128239027,1.7579249,1.3793775
0.5333333,0.129300873,1.7710725,1.3974397
0.55,0.140811577,1.810763183,1.408277
0.5666667,0.184183733,1.86092415,1.4480138
0.5833333,0.148440433,1.8834652,1.4805257
0.6,0.147190143,1.917281367,1.4949754
0.6166667,0.146913723,1.946182867,1.5274873
0.6333333,0.15824004,1.9677367,1.5058127
0.65,0.148153777,1.981336633,1.491363
0.6666667,0.221562967,2.0308857,1.5058127
0.6833333,0.195763533,2.052579983,1.5202625
0.7,0.1995066,2.061065667,1.5130376
0.7166667,0.196693533,2.061361167,1.5130376
0.7333333,0.211067267,2.07709,1.4985879
0.75,0.204053267,2.087125333,1.5130376
0.7666667,0.192878567,2.093047333,1.4805257
0.7833333,0.203075063,2.099180333,1.4733008
0.8,0.228701067,2.131092833,1.4552386
0.8166667,0.218123533,2.136292833,1.4227267
0.8333333,0.217267067,2.137150333,1.408277
0.85,0.2180179,2.131142167,1.3938272
0.8666667,0.2293296,2.135384333,1.3540904
0.8833333,0.241467067,2.137765333,1.3107412
0.9,0.235272233,2.140628833,1.2746168
0.9166667,0.250859833,2.1266505,1.2204303
0.9333333,0.265986633,2.131233667,1.1915308
0.95,0.268522067,2.1058545,1.1698562
0.9666667,0.264082167,2.096795167,1.1228945
0.9833333,0.260209633,2.0905215,1.07593286
1,0.230513133,2.078029,1.04342094
1.016667,0.268993667,2.052007667,0.96394735
1.033333,0.287680033,2.0437082,0.90614838
1.05,0.299293867,2.01793035,0.8664116
1.066667,0.383346767,1.9629687,0.8230624
1.083333,0.362073433,1.916153567,0.7435888
1.1,0.363564267,1.891642583,0.703852
1.116667,0.396182733,1.815052033,0.6713401
1.133333,0.392564033,1.796632717,0.6027038
1.15,0.4200775,1.6826473,0.5449048
1.166667,0.430106967,1.64361965,0.4726561
1.183333,0.431650667,1.592877583,0.4004074
1.2,0.487685633,1.488353817,0.3498333
1.216667,0.488211067,1.441783933,0.3137089
1.233333,0.569597233,1.3410241,0.2450726
1.25,0.575304,1.318204233,0.198111
