t,x,y,z
0.00000000,0.08488365,1.15540597,0.85328400
0.01666670,0.07874350,1.20988655,0.87960498
0.03333340,0.08307296,1.40183800,0.92297711
0.05000010,0.08699148,1.49318907,0.96481483
0.06666680,0.09389785,1.60934364,1.02435236
0.08333350,0.09538612,1.69658018,1.07187266
0.10000020,0.10041489,1.77263531,1.13078136
0.11666690,0.10211931,1.83369960,1.19107969
0.13333360,0.10010842,1.91059881,1.25297410
0.15000030,0.10039956,1.97774708,1.31539095
0.16666700,0.11242933,2.05776292,1.38199897
0.18333370,0.12101582,2.12078253,1.44524099
0.20000040,0.14771728,2.20524731,1.50786457
0.21666710,0.16539851,2.27431507,1.57093512
0.23333380,0.18327159,2.34012027,1.62044842
0.25000050,0.19636436,2.39358156,1.67574525
0.26666720,0.21252690,2.44329153,1.71953853
0.28333390,0.22186193,2.48749133,1.76415703
0.30000060,0.23087823,2.52454993,1.81304891
0.31666730,0.23870640,2.55668430,1.85765984
0.33333400,0.25829665,2.59249091,1.91019476
0.35000070,0.27030954,2.62273559,1.96161828
0.36666740,0.28932958,2.65312739,2.00067226
0.38333410,0.30136172,2.67830770,2.02927218
0.40000080,0.32119983,2.71064503,2.06192635
0.41666750,0.33653203,2.73547647,2.08565505
0.43333420,0.34695225,2.75655242,2.11167724
0.45000090,0.35465006,2.77675636,2.13343708
0.46666760,0.36998913,2.79665239,2.15025089
0.48333430,0.38196749,2.81302626,2.16346181
0.50000100,0.39967508,2.82846937,2.17119096
0.51666770,0.41185011,2.84037393,2.17431737
0.53333440,0.43034896,2.85359576,2.17491152
0.55000110,0.44387670,2.86454726,2.17264693
0.56666780,0.45411569,2.87429204,2.17360692
0.58333450,0.46181119,2.88309676,2.16877056
0.60000120,0.46854791,2.89385945,2.16175455
0.61666790,0.47582490,2.90404039,2.15499031
0.63333460,0.48817933,2.91339609,2.14108801
0.65000130,0.49849604,2.91645157,2.10713377
0.66666800,0.52137709,2.92073875,2.06773446
0.68333470,0.53893194,2.92752395,2.04533440
0.70000140,0.55161380,2.93055989,2.01683216
0.71666810,0.56121522,2.93026227,1.98531675
0.73333480,0.57184490,2.92944427,1.95283708
0.75000150,0.58046318,2.92577405,1.90849097
0.76666820,0.58789476,2.91957611,1.86261925
0.78333490,0.59362151,2.91751604,1.82133797
0.80000160,0.61052765,2.91349653,1.77549823
0.81666830,0.62374563,2.90791491,1.72452225
0.83333500,0.64036005,2.89599956,1.66332154
0.85000170,0.65207833,2.88502113,1.60868585
0.86666840,0.67956937,2.86878413,1.55438936
0.88333510,0.70045893,2.85698161,1.50765853
0.90000180,0.71560202,2.83798316,1.45550503
0.91666850,0.72659103,2.81763312,1.39474663
0.93333520,0.73482199,2.78896663,1.32691760
0.95000190,0.74762032,2.76207562,1.26773459
0.96666860,0.76124415,2.72529450,1.19804768
0.98333530,0.77299617,2.69317430,1.13348483
1.00000200,0.80871997,2.65634756,1.06537890
1.01666870,0.84649945,2.60827501,0.99531254
1.03333540,0.87395436,2.55983265,0.92018468
1.05000210,0.89381442,2.51457326,0.85110462
1.06666880,0.92309095,2.46246955,0.78847583
1.08333550,0.94995361,2.41073582,0.72894398
1.10000220,0.98439609,2.34662385,0.66965806
1.11666890,1.01183746,2.27440704,0.60833618
1.13333560,1.06615221,2.15161246,0.55201773
1.15000230,1.10242757,2.04757565,0.49834719
1.16666900,1.13097985,1.95978267,0.44924908
1.18333570,1.15243083,1.88242159,0.39640938
1.20000240,1.18576477,1.79709698,0.34348034
1.21666910,1.22079722,1.71722612,0.29353046
1.23333580,1.27293065,1.59863269,0.23503630
1.25000250,1.31830454,1.49677702,0.18427903
1.26666920,1.42695832,1.31697083,0.13836443
1.28333590,1.49399884,1.15122447,0.09821197
