t,x,y,z
0,0.142679797,0.746734883,0.93097108
0.01666667,0.099247227,0.80803335,0.95824878
0.03333333,0.092525743,0.952470342,0.98552648
0.05,0.08503696,1.01211629,1.04008188
0.06666667,0.081617148,1.137009358,1.1014567
0.08333333,0.11447623,1.244944167,1.1923824
0.1,0.105985293,1.269532433,1.2628498
0.1166667,0.104857157,1.32107255,1.2719423
0.1333333,0.099813207,1.347100267,1.3378634
0.15,0.096656057,1.397023833,1.3810531
0.1666667,0.092777103,1.426460917,1.4492474
0.1833333,0.110738257,1.456983117,1.5197148
0.2,0.08532033,1.500742733,1.5369977
0.2166667,0.095869811,1.534387033,1.5327022
0.2333333,0.090475847,1.5506653,1.621476
0.25,0.09775464,1.57897945,1.6615674
0.2666667,0.099424343,1.5962932,1.7059543
0.2833333,0.08692184,1.605878467,1.7231363
0.3,0.11522226,1.62616985,1.7489093
0.3166667,0.10810387,1.6381288,1.7560685
0.3333333,0.09747284,1.63818135,1.7417501
0.35,0.07873087,1.648081183,1.7245681
0.3666667,0.078063867,1.652333667,1.7331591
0.3833333,0.083110317,1.671080767,1.7703868
0.4,0.055643197,1.677856317,1.786137
0.4166667,0.072637197,1.68863025,1.7890007
0.4333333,0.07159226,1.687897083,1.7732505
0.45,0.045805907,1.704433033,1.7532048
0.4666667,0.043524117,1.70508335,1.7302955
0.4833333,0.0337599,1.702312417,1.7002269
0.5,0.031941183,1.7067967,1.6701584
0.5166667,0.048232797,1.7087407,1.621476
0.5333333,0.009702353,1.71518185,1.6529764
0.55,-0.025745053,1.70282245,1.5627708
0.5666667,-0.02645948,1.69604835,1.4926109
0.5833333,-0.0512512,1.68792135,1.4725652
0.6,-0.068754593,1.689635583,1.473997
0.6166667,-0.092807543,1.670766417,1.4152918
0.6333333,-0.132431453,1.659304967,1.3737686
0.65,-0.16811036,1.643290567,1.3136315
0.6666667,-0.186276367,1.6206042,1.2334487
0.6833333,-0.227679867,1.61224415,1.2348806
0.7,-0.22120237,1.590863033,1.18763
0.7166667,-0.272769367,1.572812067,1.1231975
0.7333333,-0.280958167,1.549778467,1.07308324
0.75,-0.3521948,1.50595015,0.97571847
0.7666667,-0.343863133,1.488846767,0.93705892
0.7833333,-0.442225867,1.414584333,0.839154
0.8,-0.4614078,1.373783083,0.7332078
0.8166667,-0.575584867,1.265438265,0.6263701
0.8333333,-0.606297,1.215363982,0.5831804
0.85,-0.697324133,1.130051957,0.528625
0.8666667,-0.775445033,1.016829528,0.4422456
0.8833333,-0.7922959,0.911797167,0.3649588
