t,x,y,z
0,0.4141778,0.601796483,0.93784444
0.01666667,0.297770467,0.731152533,0.8975066
0.03333333,0.283443033,0.796377233,0.93761271
0.05,0.250000233,0.91608191,0.95766577
0.06666667,0.2640082,1.013777313,0.96912466
0.08333333,0.3308196,1.137810538,1.000636605
0.1,0.2669611,1.223603733,1.07225467
0.1166667,0.285903567,1.31086415,1.1066313
0.1333333,0.267740633,1.385888917,1.192573
0.15,0.2982173,1.454575783,1.2326791
0.1666667,0.280972133,1.50593225,1.2699205
0.1833333,0.247479533,1.59210905,1.295703
0.2,0.2739634,1.649670967,1.3415386
0.2166667,0.305213233,1.695169083,1.3759153
0.2333333,0.3044313,1.745397833,1.4389392
0.25,0.3170273,1.787385267,1.5220161
0.2666667,0.328609067,1.832824367,1.5535281
0.2833333,0.383970267,1.878845317,1.58504
0.3,0.3588672,1.8974963,1.5936342
0.3166667,0.360520033,1.9122481,1.5879047
0.3333333,0.3587845,1.954377167,1.6451992
0.35,0.3519607,1.97079835,1.6795759
0.3666667,0.3635396,1.994124567,1.6795759
0.3833333,0.379173867,2.03372425,1.7053584
0.4,0.394857367,2.063463833,1.7139525
0.4166667,0.419020733,2.103211,1.7597881
0.4333333,0.456562367,2.110841167,1.7655175
0.45,0.4445281,2.1089805,1.7540586
0.4666667,0.457129067,2.119704333,1.7436059
0.4833333,0.449493167,2.1221115,1.7038274
0.5,0.4578673,2.124694167,1.7038274
0.5166667,0.454784933,2.156777833,1.7697461
0.5333333,0.448667133,2.167728833,1.7686096
0.55,0.469273033,2.173012833,1.7186023
0.5666667,0.491142533,2.175500667,1.6845064
0.5833333,0.506078433,2.192069333,1.7038274
0.6,0.525186333,2.196693833,1.6697315
0.6166667,0.531322233,2.199242333,1.6424548
0.6333333,0.5495486,2.198112333,1.6219973
0.65,0.543345,2.173193333,1.5089689
0.6666667,0.5557279,2.168692667,1.497718
0.6833333,0.552155167,2.1539975,1.4720017
0.7,0.555417,2.153790167,1.4752162
0.7166667,0.5615242,2.1547215,1.4575362
0.7333333,0.555109267,2.139159,1.3900309
0.75,0.5930359,2.118625167,1.3378634
0.7666667,0.599144133,2.115544333,1.29922
0.7833333,0.629978333,2.1026605,1.2537572
0.8,0.682890067,2.068104667,1.2128406
0.8166667,0.6845366,2.028472133,1.1469195
0.8333333,0.703932667,1.989074617,1.08554471
0.85,0.702397333,1.929418833,0.999893691
0.8666667,0.830561267,1.887705517,0.94915621
0.8833333,0.7391838,1.805758567,0.896599
0.9,0.7643799,1.759729617,0.857014
0.9166667,0.756311533,1.699774067,0.8110884
0.9333333,0.749572367,1.647931767,0.7345457
0.95,0.824092333,1.55393375,0.7013772
0.9666667,0.8615472,1.48738995,0.6401431
0.9833333,0.9126289,1.406493567,0.5865632
1,0.93508,1.296223492,0.5112962
1.016667,1.004899267,1.198461068,0.4704734
1.033333,1.092786533,1.133656333,0.4245478
1.05,1.080975267,0.963818502,0.3480051
1.066667,1.097228533,0.914691083,0.2913766
1.17,1.319735,0.908422575,0.2386204
