t,x,y,z
0.01666667,0.38282907,0.98651417,1.18037140
0.03333334,0.26637832,1.24090022,1.21647908
0.05000000,0.26176420,1.27632112,1.25640983
0.06666667,0.25884789,1.29747315,1.29871771
0.08333334,0.25769783,1.31812635,1.33703249
0.10000000,0.26066737,1.36438973,1.38658679
0.11666667,0.26477268,1.41260685,1.43526701
0.13333334,0.26426838,1.46872496,1.47389777
0.15000000,0.26443836,1.51808368,1.52452757
0.16666667,0.26774575,1.59005083,1.57263764
0.18333334,0.27135611,1.64615027,1.61901207
0.20000000,0.27340255,1.69158308,1.67035968
0.21666667,0.27613230,1.72977428,1.72326046
0.23333334,0.28544951,1.77409493,1.76898306
0.25000000,0.29872822,1.81316529,1.81358977
0.26666667,0.31091046,1.85026434,1.85528728
0.28333334,0.31936638,1.87810223,1.89277140
0.30000000,0.32769027,1.91570265,1.93234674
0.31666667,0.33470355,1.94787660,1.95893539
0.33333334,0.33979118,1.97537221,1.98743728
0.35000000,0.34241215,1.99685397,2.00582154
0.36666667,0.36157217,2.02388808,2.02706813
0.38333334,0.36426173,2.04378337,2.05112676
0.40000000,0.37808786,2.06629434,2.06992493
0.41666667,0.38445188,2.08498283,2.09291806
0.43333334,0.40194999,2.10489947,2.10656073
0.45000000,0.41354792,2.12070297,2.11120432
0.46666667,0.42141724,2.13464723,2.11439703
0.48333334,0.42901028,2.14679180,2.11216618
0.50000000,0.43449544,2.15657159,2.10307710
0.51666667,0.43697297,2.16380385,2.08754386
0.53333334,0.44067063,2.17229808,2.07169010
0.55000000,0.44442195,2.17905390,2.05343141
0.56666667,0.45623229,2.18783451,2.02906935
0.58333333,0.46287236,2.19130340,1.99954478
0.60000000,0.47767034,2.19597896,1.95973469
0.61666667,0.48614565,2.19775649,1.92841811
0.63333333,0.50328538,2.20113393,1.90112767
0.65000000,0.51591136,2.19960338,1.86662520
0.66666667,0.52574340,2.19859662,1.82905487
0.68333333,0.53323918,2.19530826,1.78563592
0.70000000,0.53933298,2.18959282,1.73579420
0.71666667,0.54398967,2.18070279,1.68491023
0.73333333,0.55325903,2.16744729,1.62748603
0.75000000,0.56091115,2.15702119,1.57545298
0.76666667,0.58869333,2.13919878,1.51722727
0.78333333,0.60753525,2.12471498,1.46319114
0.80000000,0.62208146,2.10400952,1.40136774
0.81666667,0.63237164,2.08059899,1.33098824
0.83333333,0.65556172,2.05326802,1.27247665
0.85000000,0.67254048,2.02547261,1.21178355
0.86666667,0.69667298,1.98508730,1.14806805
0.88333333,0.71582068,1.94775219,1.07999431
0.90000000,0.75562469,1.87510197,1.00948217
0.91666667,0.78570188,1.81229416,0.93576220
0.93333333,0.83119672,1.73607029,0.86550095
0.95000000,0.86320610,1.67075292,0.79922321
0.96666667,0.92196192,1.58919383,0.72685095
0.98333333,0.96314070,1.52018552,0.65056721
1.00000000,0.99303146,1.45330294,0.57417705
1.01666667,1.01711266,1.39744331,0.49954499
1.03333333,1.07180045,1.30758695,0.43075414
1.05000000,1.11244879,1.23222837,0.36260331
