t,x,y,z
0.31666670,0.18546337,0.95374196,0.96755979
0.33333337,0.14779644,1.19124052,0.98070811
0.35000003,0.15077006,1.21278548,0.99045539
0.36666670,0.15164023,1.22916156,1.01736371
0.38333336,0.15064582,1.25069243,1.04497066
0.40000003,0.14861323,1.29121020,1.07346758
0.41666670,0.14250290,1.33042938,1.10779325
0.43333336,0.13354658,1.36903452,1.13417845
0.45000003,0.12636790,1.42134910,1.15940344
0.46666669,0.10821929,1.48889580,1.19220879
0.48333336,0.11166534,1.55938300,1.22436367
0.50000003,0.11457060,1.61534315,1.25502466
0.51666669,0.11801542,1.66170276,1.29392951
0.53333336,0.12084444,1.69916843,1.32742160
0.55000003,0.12622419,1.73775165,1.35487008
0.56666669,0.14261469,1.78013967,1.38619902
0.58333336,0.14429921,1.81734858,1.41826679
0.60000002,0.14516740,1.85400350,1.44567163
0.61666669,0.14571977,1.88882971,1.47485111
0.63333336,0.14937006,1.92020340,1.48976840
0.65000002,0.14913624,1.94677151,1.49636407
0.66666669,0.16999854,1.98013331,1.50518010
0.68333335,0.17780537,2.01045677,1.51561335
0.70000002,0.18455510,2.03477839,1.52101975
0.71666669,0.18865662,2.05238051,1.52483281
0.73333335,0.19574186,2.06949910,1.52335567
0.75000002,0.19888584,2.08463704,1.52628781
0.76666668,0.19796931,2.09715673,1.51902032
0.78333335,0.20019682,2.10782980,1.51154740
0.80000002,0.20911764,2.12451545,1.50083827
0.81666668,0.21258568,2.13796150,1.48365638
0.83333335,0.21485131,2.14780908,1.46691684
0.85000001,0.21669846,2.15307929,1.45050836
0.86666668,0.22124915,2.15793712,1.42714513
0.88333335,0.22800416,2.16196751,1.39769473
0.90000001,0.23114503,2.16553559,1.36587695
0.91666668,0.23785001,2.16397724,1.32720579
0.93333334,0.24702000,2.16396765,1.29074695
0.95000001,0.25440336,2.15657036,1.25796859
0.96666668,0.25849955,2.14843411,1.22069500
0.98333334,0.26036008,2.14055728,1.18015661
1.00000001,0.25325347,2.13110894,1.14135714
1.01666667,0.25897823,2.11667879,1.09049838
1.03333334,0.26843577,2.10365550,1.03701448
1.05000001,0.27860382,2.08670504,0.98676533
1.06666667,0.30984807,2.05861529,0.93786098
1.08333334,0.32656385,2.02472401,0.87969626
1.10000001,0.33913923,1.99294675,0.82607376
1.11666667,0.35752251,1.94794872,0.77782362
1.13333334,0.36986107,1.90981855,0.72325563
1.15000000,0.38661498,1.84961855,0.66717139
1.16666667,0.40162936,1.79458906,0.60589670
1.18333334,0.41296784,1.74002250,0.54084771
1.20000000,0.43706330,1.67057549,0.47920861
1.21666667,0.45473033,1.60671226,0.42416071
1.23333333,0.49061247,1.53158369,0.36471860
1.25000000,0.51833387,1.47034004,0.30822756
