t,x,y,z
0.00000000,0.26259303,0.81251320,0.90610076
0.01666670,0.26273880,0.86204995,0.91913428
0.03333340,0.25581018,0.96898560,0.92699425
0.05000010,0.25187148,1.01853443,0.93536867
0.06666680,0.26285168,1.10895947,0.97746258
0.08333350,0.26964835,1.17710500,1.01782962
0.10000020,0.27958193,1.25672626,1.05200135
0.11666690,0.28588569,1.32423302,1.09200392
0.13333360,0.29240551,1.40481988,1.13559386
0.15000030,0.29606335,1.47254053,1.17643767
0.16666700,0.30291058,1.55069924,1.21444478
0.18333370,0.30868582,1.61999795,1.25409552
0.20000040,0.32789951,1.69318623,1.29309539
0.21666710,0.34154835,1.75491820,1.33899292
0.23333380,0.36758624,1.81746683,1.37974147
0.25000050,0.38636951,1.87323449,1.42410112
0.26666720,0.41076254,1.92736587,1.45999147
0.28333390,0.42838941,1.96620129,1.48600051
0.30000060,0.44864085,2.00487903,1.50295471
0.31666730,0.46435290,2.04494173,1.53636064
0.33333400,0.47956376,2.08861231,1.56330673
0.35000070,0.49048705,2.12493895,1.58738153
0.36666740,0.50863160,2.16534494,1.61119981
0.38333410,0.52368478,2.19912926,1.63666559
0.40000080,0.54740670,2.23094730,1.64677249
0.41666750,0.56500878,2.25791136,1.65947878
0.43333420,0.59158038,2.28371360,1.66121714
0.45000090,0.61256612,2.30888233,1.66690600
0.46666760,0.63739092,2.32528124,1.66354452
0.48333430,0.66047210,2.34183034,1.66001610
0.50000100,0.67798407,2.35498626,1.65728870
0.51666770,0.69839703,2.37104958,1.65515001
0.53333440,0.71359821,2.38324080,1.64153497
0.55000110,0.73540544,2.39492439,1.61956535
0.56666780,0.75299805,2.40520922,1.60158810
0.58333450,0.78247883,2.41635700,1.58195436
0.60000120,0.80434998,2.42703875,1.55563425
0.61666790,0.83754444,2.43176392,1.52536656
0.63333460,0.86135131,2.43460350,1.48857707
0.65000130,0.89005322,2.43201833,1.44796159
0.66666800,0.91285146,2.42773044,1.41370801
0.68333470,0.94064042,2.41996144,1.37040401
0.70000140,0.96212428,2.41300825,1.33512645
0.71666810,0.98943577,2.39667259,1.28928062
0.73333480,1.00875035,2.37874974,1.24122015
0.75000150,1.03745058,2.36110887,1.19338443
0.76666820,1.06118635,2.34761351,1.14755104
0.78333490,1.10211125,2.33064997,1.10045474
0.80000160,1.13345114,2.30654788,1.03786227
0.81666830,1.18597649,2.27285488,0.97857285
0.83333500,1.22425397,2.24318895,0.91623911
0.85000170,1.27765582,2.19824244,0.85443496
0.86666840,1.31591295,2.15568962,0.79758749
0.88333510,1.36886192,2.09298866,0.73161585
0.90000180,1.40728067,2.03299700,0.66355982
0.91666850,1.45651135,1.95941198,0.59946228
0.93333520,1.49105129,1.88378305,0.53098260
0.95000190,1.53984817,1.79526581,0.46842470
0.96666860,1.57334217,1.72631865,0.41474913
0.98333530,1.62801516,1.64144170,0.35664202
1.00000200,1.67532662,1.55629899,0.29713388
1.01666870,1.74723132,1.45579798,0.23661525
1.03333540,1.81031228,1.36228501,0.18264788
1.05000210,1.89108827,1.25669488,0.12164446
1.06666880,1.93600565,1.14479747,0.06552336
