t,x,y,z,vx,vy,vz,speed
0.00000000,0.25626282,0.86342015,0.91843569,0.29599333,6.33659579,2.02687915,6.65945173
0.01666667,0.25816081,0.93660490,0.93473486,0.32467628,6.10088266,2.11589038,6.46553756
0.03333334,0.25802453,1.04414500,0.95794695,0.35335922,5.86516953,2.20490160,6.27587981
0.05000001,0.26267805,1.13601431,0.99251233,0.38204216,5.62945640,2.29391283,6.09087610
0.06666668,0.27621457,1.24572776,1.04854479,0.41072510,5.39374327,2.38292406,5.91096343
0.08333335,0.28536629,1.33113442,1.09670570,0.43940804,5.15803014,2.47193529,5.73662082
0.10000002,0.29496217,1.41713609,1.13856274,0.49329885,4.96230666,2.55514615,5.60326717
0.11666669,0.30079571,1.49045729,1.18378419,0.57495595,4.67743175,2.56831643,5.36704681
0.13333336,0.30703889,1.56848242,1.22764680,0.65387294,4.39405259,2.52865918,5.11168908
0.15000003,0.31336722,1.63458630,1.26635554,0.75253732,4.09069041,2.44439303,4.82442927
0.16666670,0.32480881,1.70565182,1.30318335,0.86621395,3.82984071,2.37981820,4.59146394
0.18333337,0.33978056,1.76680263,1.34207041,0.98274260,3.55732920,2.29126279,4.34399116
0.20000004,0.36438749,1.82696855,1.38155681,1.07997200,3.27557627,2.15463221,4.06671605
0.21666671,0.38479165,1.87654160,1.42369659,1.14622004,2.98909161,1.99895636,3.77416422
0.23333338,0.41180157,1.92545065,1.45901147,1.16706027,2.74450869,1.87092503,3.52061331
0.25000005,0.43088695,1.96726968,1.49229249,1.14112243,2.52731088,1.73723642,3.27222417
0.26666672,0.45188509,2.00481408,1.51445605,1.08249298,2.35252851,1.59332253,3.04053583
0.28333339,0.46659741,2.03295949,1.53015011,1.02104763,2.21281188,1.45142273,2.83649478
0.30000006,0.48256437,2.06640375,1.54721858,0.98342273,2.10101434,1.31338576,2.66577638
0.31666673,0.49477675,2.10332687,1.57740664,0.97406615,1.99495756,1.16808699,2.50860275
0.33333340,0.50757836,2.14101230,1.59883379,1.00047170,1.89672913,1.02093661,2.37504454
0.35000007,0.52070376,2.17257122,1.61738680,1.05501534,1.79661946,0.86414588,2.25558129
0.36666674,0.54088415,2.20543157,1.63430152,1.12484077,1.68580768,0.69036848,2.14098644
0.38333341,0.56031072,2.23119525,1.64678043,1.19445560,1.52821647,0.47412595,1.99673863
0.40000008,0.58537543,2.25465787,1.64659476,1.25340745,1.35572367,0.23797767,1.86162571
0.41666675,0.60619307,2.27446067,1.64811762,1.27888986,1.18888698,0.03661689,1.74652578
0.43333342,0.63248621,2.29339005,1.64246682,1.27938661,1.04990266,-0.15080848,1.66188714
0.45000009,0.65321162,2.30963674,1.63967697,1.24935125,0.92284740,-0.34607691,1.59131867
0.46666676,0.67574492,2.31967432,1.63031774,1.22760791,0.82369504,-0.53894186,1.57351613
0.48333343,0.69450431,2.33142025,1.62257032,1.20831506,0.73948843,-0.70831211,1.58384799
0.50000010,0.70996532,2.34218971,1.61417041,1.22957133,0.67098977,-0.88798411,1.65848988
0.51666677,0.72847968,2.35495230,1.60092024,1.25820359,0.60522444,-1.07657445,1.76306139
0.53333344,0.74571436,2.36424359,1.57619813,1.32609102,0.53042381,-1.28767668,1.92301275
0.55000011,0.76954041,2.37337671,1.54854401,1.38839393,0.44228982,-1.50405270,2.09414243
0.56666678,0.79285830,2.38152943,1.52503253,1.45853968,0.32002386,-1.72337350,2.28030031
0.58333345,0.82415818,2.38920070,1.49712845,1.51135802,0.17630277,-1.91146728,2.44315224
0.60000012,0.84963810,2.39334813,1.46213770,1.54373043,0.01270357,-2.07203541,2.58391094
0.61666679,0.88116889,2.39109742,1.42346831,1.55009578,-0.15536380,-2.19151716,2.68880686
0.63333346,0.90398728,2.38625397,1.38108271,1.53751205,-0.34342541,-2.31998232,2.80431851
0.65000013,0.92997816,2.37701726,1.33951518,1.51503629,-0.53083197,-2.45237465,2.93108494
0.66666680,0.95196015,2.36652385,1.30210148,1.50818106,-0.70023270,-2.56017622,3.05277550
0.68333347,0.97740127,2.35333257,1.25818034,1.53959231,-0.83835159,-2.64641500,3.17438029
0.70000014,0.99913530,2.33860771,1.21794754,1.62352726,-0.96519024,-2.74016442,3.32805259
0.71666681,1.02563682,2.31685802,1.16772562,1.75325858,-1.11064339,-2.87074422,3.54240269
0.73333348,1.04940296,2.29666135,1.11777610,1.92932197,-1.28427352,-3.01925023,3.80624667
0.75000015,1.08312154,2.27813716,1.06885291,2.11067540,-1.48147470,-3.17485961,4.09016521
0.76666682,1.11764537,2.25972319,1.01900823,2.29832433,-1.72576920,-3.30750490,4.38179903
0.78333349,1.16502560,2.23298686,0.96261920,2.45668561,-2.00631731,-3.42386096,4.66727299
0.80000016,1.20705817,2.19679014,0.89561428,2.59090393,-2.34483040,-3.52509241,4.96359640
0.81666683,1.26184237,2.15340926,0.83433325,2.67145832,-2.72530916,-3.62409270,5.26289345
0.83333350,1.30416403,2.10928165,0.77225983,2.70376166,-3.14152585,-3.69932574,5.55558482
0.85000017,1.35493115,2.05105907,0.71212536,2.68701108,-3.55211480,-3.74192566,5.81717764
0.86666684,1.39425720,1.99050265,0.65280823,2.65575724,-3.92899326,-3.72671880,6.03145651
0.88333351,1.44269513,1.91435267,0.58555886,2.62965879,-4.22788442,-3.66276585,6.18109745
0.90000018,1.47992851,1.84021386,0.52016551,2.64710195,-4.49977299,-3.60577981,6.34482102
0.91666685,1.52457541,1.75601713,0.45930758,2.73148183,-4.74168867,-3.54394288,6.51951958
0.93333352,1.56116117,1.67218083,0.39828719,2.87788244,-4.94663772,-3.47616327,6.69590496
0.95000019,1.61002264,1.58544683,0.34518348,3.05623629,-5.09752170,-3.38347537,6.83909448
0.96666686,1.65353212,1.51127051,0.29595894,3.21400065,-5.17317633,-3.26865716,6.91199487
0.98333353,1.71675961,1.42026425,0.24047825,3.27040325,-5.13021511,-3.12079734,6.83769117
1.00000020,1.77750232,1.32800619,0.18476693,3.37059827,-5.10029223,-3.00318562,6.81124346
1.01666687,1.85258926,1.22943315,0.13152076,3.47079329,-5.07036936,-2.88557390,6.78834209
1.03333354,1.91306995,1.14315441,0.08466735,3.57098831,-5.04044649,-2.76796218,6.76902304
1.05000021,1.96995696,1.06182528,0.03847076,3.67118332,-5.01052362,-2.65035046,6.75331708
1.06666688,1.98980541,1.01096227,0.00841777,3.77137834,-4.98060075,-2.53273874,6.74124944
