t,speed,omega,q_dynamic,f_parallel,thrust_mag,D_mag,D_mag_signed,L_mag,Cl,Cd,Cd_signed
0.0,7.57384913,85.0,0.4289550658633891,-0.011183063745028254,0.0,0.011183063745028254,0.011183063745028254,0.02129866791686498,0.049652445236881865,0.026070478320425677,0.026070478320425677
0.01666666,7.38181638,84.97500001,0.4141000343427749,-0.011805050824106133,0.0,0.011805050824106133,0.011805050824106133,0.0211937129640773,0.051180176784370944,0.028507727227895855,0.028507727227895855
0.03333333,7.18297365,84.950000005,0.3991209026199123,-0.012624144357188304,0.0,0.012624144357188304,0.012624144357188304,0.021276442843022002,0.053308264997796465,0.031629875244119775,0.031629875244119775
0.05,6.9760735,84.925,0.38396991828748456,-0.013600197124540643,0.0,0.013600197124540643,0.013600197124540643,0.021485610554865687,0.055956494328232916,0.03541995473290684,0.03541995473290684
0.06666666,6.76036206,84.90000001,0.3686460989643193,-0.014667112671434893,0.0,0.014667112671434893,0.014667112671434893,0.021766377019602868,0.05904409969549034,0.03978643124840038,0.03978643124840038
0.08333333,6.53565206,84.875000005,0.35319552460704223,-0.01574967514190988,0.0,0.01574967514190988,0.01574967514190988,0.022082711713633348,0.06252262606725298,0.04459194424797039,0.04459194424797039
0.10000003,6.30223928,84.849999955,0.33769979720707577,-0.01678412314113823,0.0,0.01678412314113823,0.01678412314113823,0.02240262826200846,0.0663388857419754,0.04970131246731633,0.04970131246731633
0.11666663,6.06077334,84.825000055,0.3222621364577819,-0.01772399668628788,0.0,0.01772399668628788,0.01772399668628788,0.022701649338310183,0.07044466839275802,0.0549986941720962,0.0549986941720962
0.13333333,5.81222553,84.800000005,0.30700065596730525,-0.018527151520121885,0.0,0.018527151520121885,0.018527151520121885,0.022968390477102835,0.07481544430168549,0.06034889880526828,0.06034889880526828
0.15000003,5.55782996,84.774999955,0.2920402640666195,-0.019159404446974688,0.0,0.019159404446974688,0.019159404446974688,0.023189599930969387,0.0794054888461525,0.06560535242703415,0.06560535242703415
0.16666663,5.29904077,84.750000055,0.27750616400519007,-0.01959247957377347,0.0,0.01959247957377347,0.01959247957377347,0.023351144205163855,0.08414639829307406,0.07060196174023378,0.07060196174023378
0.18333333,5.03749088,84.725000005,0.2635180846554407,-0.019803854454915174,0.0,0.019803854454915174,0.019803854454915174,0.02343965603577055,0.08894894658337676,0.07515178505038628,0.07515178505038628
0.20000003,4.77489608,84.699999955,0.25018260443614954,-0.01978422620168716,0.0,0.01978422620168716,0.01978422620168716,0.02343637163826352,0.09367706316385735,0.07907914399674577,0.07907914399674577
0.21666663,4.51292852,84.675000055,0.23758583114677673,-0.01954198500161524,0.0,0.01954198500161524,0.01954198500161524,0.023313083458183018,0.09812488962685896,0.08225231659350306,0.08225231659350306
0.23333333,4.25308261,84.650000005,0.22578808159278618,-0.01910458037835657,0.0,0.01910458037835657,0.01910458037835657,0.02303597754391762,0.10202477199599719,0.08461288232570267,0.08461288232570267
0.25000003,3.99647106,84.624999955,0.21481808991761506,-0.018528185633940517,0.0,0.018528185633940517,0.018528185633940517,0.02256412333926235,0.1050382830790271,0.08625058364985122,0.08625058364985122
0.26666663,3.7437499,84.600000055,0.20467550544160953,-0.017880747639765444,0.0,0.017880747639765444,0.017880747639765444,0.021864351690519424,0.1068244665786691,0.08736144367244042,0.08736144367244042
0.28333333,3.49513916,84.575000005,0.19533788946416852,-0.017229214385353745,0.0,0.017229214385353745,0.017229214385353745,0.02091972173984379,0.10709505358754869,0.0882021119026893,0.0882021119026893
0.30000003,3.2505324,84.549999955,0.18677013630940592,-0.016627652504827915,0.0,0.016627652504827915,0.016627652504827915,0.019733946800396206,0.10565900518327344,0.08902736183306266,0.08902736183306266
0.31666663,3.00976406,84.525000055,0.1789368847388472,-0.016096028375498315,0.0,0.016096028375498315,0.016096028375498315,0.018343785534539865,0.10251539564529721,0.08995366382392297,0.08995366382392297
0.33333333,2.77284151,84.500000005,0.1718098149692855,-0.01562521983543713,0.0,0.01562521983543713,0.01562521983543713,0.016806809588868706,0.09782217384887625,0.09094486155072372,0.09094486155072372
0.35000003,2.54016055,84.474999955,0.165371144849181,-0.015180166853096703,0.0,0.015180166853096703,0.015180166853096703,0.015192850337187943,0.09187122911342163,0.09179453203242356,0.09179453203242356
0.36666663,2.31260119,84.450000055,0.15961134541528568,-0.014717486854497483,0.0,0.014717486854497483,0.014717486854497483,0.013570410580261963,0.08502159132205617,0.09220827514613518,0.09220827514613518
0.38333333,2.09142739,84.425000005,0.1545216309266064,-0.014214306771144715,0.0,0.014214306771144715,0.014214306771144715,0.011988569776957047,0.07758505851294886,0.09198910654713531,0.09198910654713531
0.40000003,1.87825835,84.399999955,0.15008968481828555,-0.013663151479680558,0.0,0.013663151479680558,0.013663151479680558,0.010487813584032458,0.06987697786646774,0.09103324786258706,0.09103324786258706
