t,speed,omega,q_dynamic,f_parallel,thrust_mag,D_mag,D_mag_signed,L_mag,Cl,Cd,Cd_signed
0.0,5.230438,85.0,0.27457569320163744,-0.011478029342432482,0.0,0.011478029342432482,0.011478029342432482,0.014481559826103626,0.052741594338683674,0.04180278745214157,0.04180278745214157
0.0333333,5.0357403,84.95000005,0.2641344699610762,-0.0119399285601107,0.0,0.0119399285601107,0.0119399285601107,0.013882321917735438,0.05255778210159842,0.04520397720854158,0.04520397720854158
0.05,4.83584505,84.925,0.25390326803970087,-0.012715575079150741,0.0,0.012715575079150741,0.012715575079150741,0.01345073731745137,0.05297583375472026,0.05008039154959796,0.05008039154959796
0.0666666,4.62921988,84.9000001,0.24376244814256087,-0.013708744982631358,0.0,0.013708744982631358,0.013708744982631358,0.013164129511912712,0.054003927234164736,0.05623813301470455,0.05623813301470455
0.0833333,4.41514268,84.87500005,0.2337221267955332,-0.01481315746971244,0.0,0.01481315746971244,0.01481315746971244,0.013001468414485354,0.0556278885219088,0.06337935424775341,0.06337935424775341
0.1,4.19367866,84.85,0.22383436566368117,-0.01592607012395068,0.0,0.01592607012395068,0.01592607012395068,0.012938169985450242,0.057802428805281345,0.07115113926643483,0.07115113926643483
0.1166666,3.96553166,84.8250001,0.2141783837780246,-0.01696505267985237,0.0,0.01696505267985237,0.01696505267985237,0.012941369283639134,0.06042332123045445,0.07920992016372215,0.07920992016372215
0.1333333,3.7319238,84.80000005,0.20484817129320468,-0.017864526813486267,0.0,0.017864526813486267,0.017864526813486267,0.012974596278068023,0.06333762315845688,0.08720862236996146,0.08720862236996146
0.15,3.49439621,84.775,0.1959385122450689,-0.018586627776503353,0.0,0.018586627776503353,0.018586627776503353,0.012990054601765411,0.06629658688802424,0.0948594922128236,0.0948594922128236
0.1666666,3.25458675,84.7500001,0.1875329860677507,-0.019125026844420783,0.0,0.019125026844420783,0.019125026844420783,0.012929206001759726,0.0689436363855943,0.10198220188053432,0.10198220188053432
0.1833333,3.01413309,84.72500005,0.17969926355555618,-0.019489368854871642,0.0,0.019489368854871642,0.019489368854871642,0.012736493981920588,0.07087671774449397,0.10845547426991135,0.10845547426991135
0.2000003,2.77465865,84.69999955,0.17248846262864995,-0.01969532993060673,0.0,0.01969532993060673,0.01969532993060673,0.012367528005444295,0.07170061009860307,0.11418346265285445,0.11418346265285445
0.2166663,2.5377978,84.67500055,0.1659360165425439,-0.019760511729435774,0.0,0.019760511729435774,0.019760511729435774,0.011795909970013225,0.0710870986045932,0.11908512775687506,0.11908512775687506
0.2333333,2.30522261,84.65000005,0.1600624539459048,-0.01970597833925457,0.0,0.01970597833925457,0.01970597833925457,0.01100627552125253,0.06876238149498973,0.12311430853055937,0.12311430853055937
0.2500003,2.07871536,84.62499955,0.15487511682951333,-0.01955308898587942,0.0,0.01955308898587942,0.01955308898587942,0.00998855920703668,0.06449428036933845,0.12625068110459267,0.12625068110459267
