t,x,y,z,vx,vy,vz,speed
0.00000000,0.18546337,0.95374196,0.96755979,-1.08323618,8.56911452,1.71649325,8.80621788
0.01666670,0.14406802,1.21474893,0.98200957,-0.98250566,7.72955413,1.77852194,7.99215019
0.03333340,0.12626218,1.36402012,0.99812885,-0.88177514,6.88999374,1.84055062,7.18590062
0.05000010,0.11634266,1.45546063,1.03436906,-0.78104463,6.05043334,1.90257931,6.39042896
0.06666680,0.11065877,1.51357728,1.07350576,-0.68031411,5.21087295,1.96460799,5.61032162
0.08333350,0.10750250,1.57316007,1.11280964,-0.57958359,4.37131255,2.02663668,4.85299359
0.10000020,0.10045661,1.61451309,1.15826921,-0.40129867,3.52676292,2.09242344,4.12035596
0.11666690,0.09068080,1.64597987,1.18834730,-0.28099222,3.11863751,2.12949541,3.78676739
0.13333360,0.08481023,1.69364479,1.21506355,-0.17383488,2.87965421,2.10311657,3.57011572
0.15000030,0.06309220,1.75993478,1.25197503,-0.05912455,2.70429326,2.04634422,3.39178750
0.16666700,0.07490596,1.82624143,1.28598422,0.10631299,2.54052150,1.99214810,3.23020216
0.18333370,0.08366389,1.86884542,1.31665451,0.25332529,2.39087341,1.94865103,3.09478435
0.20000040,0.09171960,1.89868028,1.35860494,0.36545084,2.21645723,1.92257438,2.95677683
0.21666710,0.09779556,1.91836002,1.39131553,0.42972399,1.98960334,1.88315389,2.77298624
0.23333380,0.10677511,1.94282764,1.41532031,0.46575165,1.75705116,1.76786582,2.53564645
0.25000050,0.13028227,1.97481043,1.44549113,0.40066874,1.57962380,1.59453762,2.27997741
0.26666720,0.13123856,2.00073641,1.47664655,0.41182710,1.51397675,1.38908638,2.09554006
0.28333390,0.13164901,2.02754639,1.50124995,0.42507578,1.49313485,1.16625120,1.94172165
0.30000060,0.13207255,2.05316572,1.52885964,0.43453978,1.46516356,0.95867634,1.80404806
0.31666730,0.13703888,2.07531561,1.53708444,0.42499109,1.38280538,0.75521425,1.63190586
0.33333400,0.13647229,2.09231426,1.53591341,0.41942284,1.27062472,0.52803075,1.43847807
0.35000070,0.16492699,2.12020837,1.54011159,0.45121604,1.15731799,0.33317326,1.28607359
0.36666740,0.17318814,2.14430556,1.54775859,0.44428649,1.02933443,0.15304824,1.13152270
0.38333410,0.18003841,2.16098164,1.54923435,0.41232344,0.89662229,-0.00700710,0.98690996
0.40000080,0.18343969,2.16988433,1.54961554,0.37900464,0.79194443,-0.12693392,0.88709228
0.41666750,0.19125255,2.17989312,1.54377195,0.33130584,0.69846622,-0.26809369,0.81822543
0.43333420,0.19363867,2.18851397,1.54511018,0.24810661,0.59426415,-0.43921482,0.77949755
0.45000090,0.19096403,2.19476199,1.53304940,0.22222020,0.50685190,-0.60888380,0.82281234
0.46666760,0.19323762,2.19966131,1.52216480,0.21262314,0.44053716,-0.77718667,0.91831405
0.48333430,0.20454999,2.21362035,1.50792995,0.22376559,0.38309342,-0.96413142,1.06131098
0.50000100,0.20781320,2.22323796,1.48608883,0.22953518,0.31819596,-1.15837515,1.22301596
0.51666770,0.20963112,2.22849196,1.46630909,0.25805397,0.23705179,-1.38198348,1.42571517
0.53333440,0.21113199,2.22841084,1.44788286,0.29965734,0.15217286,-1.57842742,1.61381047
0.55000110,0.21643239,2.22887047,1.42076163,0.32542845,0.03676085,-1.75409785,1.78440867
0.56666780,0.22446541,2.22902487,1.38675595,0.33364678,-0.10279202,-1.90959349,1.94124539
0.58333450,0.22729923,2.22921726,1.35112654,0.34608132,-0.22414749,-2.05065309,2.09169607
0.60000120,0.23503709,2.22311616,1.30767401,0.31106993,-0.33205067,-2.17819411,2.22520824
0.61666790,0.24572835,2.22004632,1.26880885,0.28146498,-0.44514764,-2.31840254,2.37747120
0.63333460,0.25355067,2.20765969,1.23563848,0.26476272,-0.56021966,-2.45248658,2.52955249
0.65000130,0.25690367,2.19550838,1.19661526,0.26795214,-0.67985992,-2.57242711,2.67420812
0.66666800,0.25760798,2.18459934,1.15388039,0.37050261,-0.83169691,-2.68123905,2.83161346
0.68333470,0.24690685,2.17218652,1.11423664,0.47823763,-1.01273085,-2.80879197,3.02384644
0.70000140,0.25452644,2.15376704,1.05895717,0.58409773,-1.20890377,-2.94709638,3.23851749
0.71666810,0.26643545,2.13819521,1.00184388,0.71762467,-1.43923086,-3.05535412,3.45276114
0.73333480,0.27842929,2.11792550,0.95036752,0.84166607,-1.67694127,-3.13461439,3.65326446
0.75000150,0.31762150,2.08374573,0.90117600,0.95680623,-1.98354765,-3.19609632,3.88136202
0.76666820,0.33475314,2.04375348,0.83994361,1.03979461,-2.29723175,-3.25948660,4.12100709
0.78333490,0.34627102,2.00843107,0.78590783,1.03249383,-2.59126313,-3.31444888,4.33200409
0.80000160,0.36583283,1.95665463,0.73920992,1.03058728,-2.91206571,-3.38193993,4.58036620
0.81666830,0.37698890,1.91613304,0.68372701,1.01102987,-3.19265830,-3.43993254,4.80087328
0.83333500,0.39438916,1.84714737,0.62669132,1.03627106,-3.45886798,-3.48959721,5.02144542
