track,i,ax,ay,az,speed,t,vx,vy,vz,x,y,z
track1,38,2.06115254,-9.70472287,-7.78671537,2.58613145,0.6166666,0.42896704,-0.69147774,-2.45477528,0.25219107,2.12760389,1.20120046
track1,39,2.33126126,-10.12236273,-7.31822696,2.75651836,0.6333333,0.46782147,-0.86018412,-2.57674598,0.25966432,2.11467335,1.15927104
track1,40,2.5951967,-10.53992613,-6.84432394,2.92825639,0.65,0.51107484,-1.03584991,-2.69081827,0.2678218,2.09887303,1.11537458
track1,41,2.84674383,-10.94949599,-6.36207373,3.10140117,0.6666666,0.55852066,-1.21834187,-2.79685305,0.27673512,2.08008807,1.06964389
track1,42,3.07947438,-11.34281606,-5.87342674,3.27600315,0.6833333,0.60984534,-1.40738919,-2.89474369,0.28647152,2.05820693,1.02221383
track1,43,3.28780433,-11.71189016,-5.38405765,3.45212204,0.7000003,0.66464219,-1.60258775,-2.98447816,0.29709227,2.03312374,0.97322021
track1,44,3.46916946,-12.04966384,-4.90705687,3.62990719,0.7166663,0.72246179,-1.80341588,-3.06626261,0.30865149,2.00474032,0.92279727
track1,45,3.62450747,-12.3502874,-4.45873353,3.80961947,0.7333333,0.78287037,-2.00925441,-3.14057498,0.32119595,1.972968,0.87107352
track1,46,3.75680037,-12.60971181,-4.04840559,3.99151961,0.7500003,0.84548384,-2.2194167,-3.20804854,0.3347656,1.93772901,0.81816822
track1,47,3.87081636,-12.82650044,-3.67964347,4.17580403,0.7666663,0.90999757,-2.43319213,-3.26937606,0.34939464,1.89895719,0.76418957
track1,48,3.97021213,-13.00140172,-3.3560802,4.36262234,0.7833333,0.97616791,-2.64988259,-3.32531084,0.36511272,1.85659815,0.70923374
track1,49,4.05609223,-13.13648494,-3.07711272,4.55203363,0.8000003,1.04376958,-2.86882445,-3.37659615,0.38194556,1.81060883,0.6533844
track1,50,4.12909747,-13.23544542,-2.83513046,4.74395184,0.8166663,1.11258801,-3.08941564,-3.42384842,0.39991525,1.76095673,0.59671392
track1,51,4.18934006,-13.30320757,-2.62591404,4.93822464,0.8333333,1.18241048,-3.31113621,-3.46761374,0.41904027,1.70761869,0.53928495
track1,52,4.23664531,-13.34594453,-2.45170227,5.13474181,0.8500003,1.25302138,-3.53356907,-3.50847553,0.43933558,1.65057937,0.48115076
track1,53,4.2711016,-13.37016262,-2.3178651,5.33348587,0.8666663,1.32420655,-3.75640556,-3.54710669,0.46081252,1.58982946,0.42235412
track1,54,4.29313855,-13.38137428,-2.22899717,5.53451839,0.8833333,1.395759,-3.97942891,-3.58425672,0.48347895,1.52536404,0.36292598
track1,55,4.30478521,-13.38497021,-2.181483,5.7379032,0.9000003,1.46750556,-4.20251219,-3.62061484,0.50733953,1.45718106,0.30288526
track1,56,4.30911026,-13.38528402,-2.16225692,5.94361576,0.9166663,1.53932421,-4.4256007,-3.65665253,0.5323965,1.38527998,0.24224124
track1,57,4.30980407,-13.3850181,-2.15764131,6.15154303,0.9333333,1.61115442,-4.64868479,-3.69261329,0.55865054,1.30966078,0.18099724
track2,1,1.09218333,-10.07842213,-5.47247733,7.57384913,0,0.50701744,5.91879643,4.69829467,0.05823638,1.35264507,0.82463769
track2,2,1.09921188,-10.28996221,-5.74240494,7.38181638,0.01666666,0.52533767,5.74729672,4.60258773,0.06683935,1.4498627,0.9021452
track2,3,1.11431841,-10.62438907,-6.00938425,7.18297365,0.03333333,0.54390968,5.57022321,4.50243113,0.07574976,1.54417556,0.97802051
track2,4,1.13509765,-11.05013084,-6.28738063,6.9760735,0.05,0.56282801,5.38605399,4.39764124,0.0849726,1.63547805,1.05218793
track2,5,1.15848392,-11.5278764,-6.57958469,6.76036206,0.06666666,0.58213612,5.19392234,4.28798128,0.09451398,1.7236447,1.12456826
track2,6,1.18083376,-12.02053508,-6.87875286,6.53565206,0.08333333,0.60181672,4.99357968,4.17333517,0.10438028,1.80854072,1.19507937
track2,7,1.19787135,-12.49631867,-7.17840369,6.30223928,0.10000003,0.62178128,4.78530729,4.05369487,0.11457695,1.8900316,1.26363809
track2,8,1.20510081,-12.93182939,-7.47340059,6.06077334,0.11666663,0.64186634,4.56977637,3.92913794,0.12510737,1.96799079,1.33016183
track2,9,1.19826513,-13.30934746,-7.75428107,5.81222553,0.13333333,0.66183746,4.34795347,3.79989967,0.13597159,2.04230535,1.39457061
track2,10,1.17373541,-13.61359347,-8.01368272,5.55782996,0.15000003,0.68139976,4.12105979,3.66633802,0.14716525,2.11288061,1.45678938
track2,11,1.12963743,-13.83120428,-8.24554932,5.29904077,0.16666663,0.70022709,3.89053926,3.52891192,0.15867883,2.17964406,1.51674991
