t,x,y,z,vx,vy,vz,speed
0.00000000,0.43786897,0.60619201,0.96510318,-2.44831033,6.91077839,-0.06396234,7.33192830
0.01666670,0.36083996,0.71370324,0.94706424,-2.09602502,6.63131787,0.34609855,6.96329532
0.03333340,0.31665950,0.81127602,0.95416530,-1.74373971,6.35185735,0.75615944,6.63012044
0.05000010,0.29038870,0.91508614,0.96989278,-1.39145439,6.07239683,1.16622033,6.33799798
0.06666680,0.28559657,1.01718602,0.99207055,-1.03916908,5.79293631,1.57628122,6.09283562
0.08333350,0.29286044,1.11977770,1.02604298,-0.68688376,5.51347579,1.98634211,5.90048977
0.10000020,0.28238096,1.21213976,1.07302210,-0.35588132,5.24369052,2.31075889,5.74130198
0.11666690,0.28082731,1.29755849,1.12066668,-0.16206833,4.95709579,2.50808239,5.55783610
0.13333360,0.27792895,1.37511648,1.17558882,-0.03124218,4.62851810,2.63317192,5.32519955
0.15000030,0.28129642,1.44608565,1.22225493,0.05366213,4.29353480,2.71338366,5.07934755
0.16666700,0.27735193,1.51161394,1.26392354,0.14848913,3.96527331,2.75442829,4.83035368
0.18333370,0.27272499,1.57879522,1.30278827,0.28878796,3.66927642,2.74166228,4.58952067
0.20000040,0.28182810,1.63813890,1.34537104,0.42216958,3.39326863,2.68980392,4.35057977
0.21666710,0.29594705,1.69054491,1.39002529,0.52118816,3.12136812,2.58466048,4.08595715
0.23333380,0.30649148,1.73947782,1.44186909,0.57637169,2.85022503,2.45728949,3.80713260
0.25000050,0.31910093,1.78430097,1.49528973,0.60370881,2.59397483,2.32764061,3.53710059
0.26666720,0.33375819,1.82644432,1.53543604,0.58307157,2.34790265,2.17858565,3.25558823
0.28333390,0.35197680,1.86427252,1.56660581,0.52440052,2.14225901,1.98798612,2.96923532
0.30000060,0.35516054,1.89370261,1.58861116,0.47700657,1.98145442,1.78247702,2.70756740
0.31666730,0.35743233,1.92013956,1.60814337,0.46283178,1.85375553,1.57577335,2.47662765
0.33333400,0.35908168,1.94944191,1.63781973,0.47658940,1.75370931,1.41224440,2.30153602
0.35000070,0.36178149,1.97521116,1.66381477,0.51972865,1.65373251,1.28439358,2.15745590
0.36666740,0.37027397,2.00213690,1.68192230,0.56782802,1.54475070,1.14630071,2.00566415
0.38333410,0.38299498,2.03203383,1.70118293,0.63445764,1.42958731,0.97739732,1.84433237
0.40000080,0.39846600,2.06006439,1.71832220,0.66628756,1.29336186,0.75909683,1.64102164
0.41666750,0.41655837,2.08538813,1.73759979,0.66403984,1.14255542,0.53155291,1.42440524
0.43333420,0.43421370,2.10080786,1.74572316,0.62199909,1.00996038,0.36972802,1.24241767
0.45000090,0.44146625,2.11023537,1.74387885,0.54815651,0.88272104,0.22939754,1.06409362
0.46666760,0.44793997,2.11933316,1.73686646,0.48030137,0.76405430,0.05634224,0.90423605
0.48333430,0.45055220,2.12730641,1.72639988,0.43854296,0.66979391,-0.12753702,0.81068458
0.50000100,0.45440922,2.13695646,1.72712970,0.42946240,0.60856608,-0.29080013,0.79959698
0.51666770,0.45723458,2.15183455,1.73941237,0.46047624,0.57291237,-0.43780146,0.85553321
0.53333440,0.46196469,2.16335374,1.73641814,0.52377360,0.53188191,-0.59603977,0.95524895
0.55000110,0.47400575,2.17181465,1.71721066,0.58683151,0.46137160,-0.79537003,1.09080175
0.56666780,0.48905572,2.17882290,1.69718678,0.63223433,0.35124187,-1.07309698,1.29407428
0.58333450,0.50368455,2.18665601,1.68337970,0.65022512,0.21229570,-1.37048490,1.53169548
0.60000120,0.51771872,2.19096304,1.65922076,0.63647091,0.05772229,-1.62218088,1.74353030
0.61666790,0.52860171,2.19160287,1.62967668,0.59091663,-0.07858156,-1.76114270,1.85929587
0.63333460,0.53868845,2.18763955,1.59361347,0.52392639,-0.19781495,-1.83946760,1.92282882
0.65000130,0.54389088,2.17767590,1.54322975,0.46428002,-0.31265078,-1.93330862,2.01270680
