t,x,y,z,vx,vy,vz,speed
0.00000000,0.38282907,0.98651417,1.18037140,-4.28687347,9.84758868,3.67041444,11.35007617
0.01666670,0.25485160,1.26608027,1.22005314,-3.57461542,8.84877955,3.61692573,10.20592606
0.03333340,0.18712450,1.43730016,1.27640688,-2.86235737,7.84997042,3.56343702,9.08367815
0.05000010,0.14876598,1.54047644,1.33996122,-2.15009932,6.85116129,3.50994831,7.99256375
0.06666680,0.13321684,1.59999545,1.39753679,-1.43784127,5.85235215,3.45645961,6.94726754
0.08333350,0.13653385,1.66837208,1.46727887,-0.72558322,4.85354302,3.40297090,5.97189767
0.10000020,0.14792086,1.72179946,1.53005816,-0.06538581,3.79674098,3.37907629,5.08307721
0.11666690,0.15462289,1.77668146,1.57256825,0.30174174,3.17951498,3.30307916,4.59463769
0.13333360,0.16327277,1.81482476,1.63056631,0.52146874,2.82157788,3.19157825,4.29178321
0.15000030,0.17632226,1.88426640,1.68116443,0.65404633,2.56070494,3.07291477,4.05312121
0.16666700,0.18863230,1.92624369,1.72719812,0.73245295,2.29467527,2.93021102,3.79317262
0.18333370,0.19749657,1.95319901,1.77942566,0.78287690,2.04168591,2.80055968,3.55309895
0.20000040,0.20654387,1.97223487,1.83251412,0.82568899,1.82700940,2.69264733,3.35709328
0.21666710,0.22410787,2.00307470,1.87436376,0.83988764,1.64991563,2.50733500,3.11678707
0.23333380,0.24557991,2.02800833,1.91506365,0.82301179,1.45935526,2.32108027,2.86260018
0.25000050,0.26373894,2.05220110,1.95217866,0.78176836,1.35107098,2.09397908,2.61176242
0.26666720,0.27560262,2.06537173,1.98420244,0.78132947,1.29308197,1.84912618,2.38784513
0.28333390,0.28696093,2.09470687,2.02022297,0.73668184,1.22350597,1.63599803,2.17167137
0.30000060,0.29623490,2.11721031,2.03886378,0.69545598,1.13858707,1.45572568,1.97463334
0.31666730,0.30278344,2.13460636,2.06217967,0.65079415,1.06634280,1.31042843,1.81048134
0.33333400,0.30609139,2.14540068,2.07280753,0.66309158,1.00513370,1.17353527,1.68141882
0.35000070,0.33223486,2.16569642,2.08938675,0.69625844,0.94477123,1.02118216,1.55569326
0.36666740,0.33410834,2.17699201,2.11078386,0.71868535,0.85298749,0.85810413,1.40728071
0.38333410,0.35182859,2.19328184,2.12539650,0.73094950,0.78141110,0.70018452,1.27872938
0.40000080,0.35854888,2.20513081,2.14657764,0.72117242,0.71386608,0.49395751,1.12857807
0.41666750,0.38055573,2.21966791,2.15526206,0.67277469,0.63677596,0.25508317,0.96082091
0.43333420,0.39341221,2.22927894,2.15309506,0.58394020,0.54422440,-0.02873219,0.79874395
0.45000090,0.40117245,2.23736860,2.15091733,0.52994195,0.46584549,-0.32594745,0.77723370
0.46666760,0.40893009,2.24397518,2.14292709,0.47298579,0.39076046,-0.61838337,0.87109545
0.48333430,0.41411336,2.24830288,2.12738620,0.43660489,0.31945354,-0.91509623,1.06305009
0.50000100,0.41566987,2.25014627,2.10514090,0.42020603,0.25331603,-1.20052345,1.29691891
0.51666770,0.41945078,2.25463186,2.08450131,0.44212273,0.19741244,-1.44147751,1.52062540
0.53333440,0.42352380,2.25731985,2.06203169,0.51136780,0.15215824,-1.63471525,1.71957643
0.55000110,0.43844884,2.26329758,2.03263658,0.58827429,0.10032745,-1.79298370,1.88968854
0.56666780,0.44559693,2.26239621,1.99790374,0.65944597,0.04845767,-1.92521779,2.03560327
0.58333450,0.46361301,2.26389578,1.95112590,0.70776477,-0.01210916,-2.05717974,2.17556109
0.60000120,0.47226668,2.26195669,1.91792110,0.71666206,-0.09072220,-2.21323386,2.32814070
0.61666790,0.49253487,2.26278600,1.89054933,0.68739817,-0.18230638,-2.36997809,2.47437831
0.63333460,0.50585630,2.25736840,1.85347555,0.63875119,-0.29684662,-2.53548929,2.63150659
0.65000130,0.51538113,2.25342617,1.81312144,0.59626819,-0.39940435,-2.68743307,2.78161034
0.66666800,0.52207200,2.24693420,1.76590917,0.61084300,-0.52788708,-2.85168342,2.96376319
0.68333470,0.52734134,2.23783144,1.71147430,0.66448843,-0.64776165,-3.03566859,3.17433833
0.70000140,0.53114608,2.22522967,1.65725545,0.70852662,-0.78184860,-3.21845579,3.38699792
0.71666810,0.54149037,2.20770641,1.59555525,0.76313918,-0.91590260,-3.39189543,3.59530438
0.73333480,0.54943377,2.19500403,1.54250884,0.85989873,-1.06666863,-3.51468354,3.77229482
0.75000150,0.58397429,2.17292111,1.48165028,0.95385154,-1.21395021,-3.59513065,3.91260428
0.76666820,0.60435639,2.15638295,1.42729688,1.05728144,-1.39462385,-3.65530743,4.05266482
0.78333490,0.61859800,2.13199607,1.36281609,1.13450408,-1.57904274,-3.72395625,4.20099103
0.80000160,0.62741971,2.10502086,1.28806866,1.24742670,-1.88579658,-3.79859561,4.42059168
0.81666830,0.65386490,2.07384120,1.23063332,1.35278943,-2.24268516,-3.90320939,4.70050205
0.83333500,0.67100767,2.04314406,1.17001488,1.48558086,-2.64913762,-3.98698731,5.01208025
0.85000170,0.69757887,1.99663423,1.10548076,1.65530951,-3.05012586,-4.05132418,5.33446764
0.86666840,0.71674769,1.95612428,1.03561049,1.91401037,-3.45979051,-4.09554161,5.69271879
0.88333510,0.76315329,1.87004874,0.96330382,2.14520841,-3.81379683,-4.15516439,6.03426520
0.90000180,0.79436963,1.80165768,0.88756309,2.27667228,-4.08863750,-4.25474355,6.32479533
0.91666850,0.84547061,1.71751734,0.81726018,2.33972469,-4.23777996,-4.32854782,6.49379834
0.93333520,0.87677303,1.65052305,0.75236912,2.42155336,-4.37398108,-4.35641719,6.63128961
0.95000190,0.94349746,1.56270788,0.67911411,2.47157048,-4.45199011,-4.34721691,6.69530966
0.96666860,0.98415136,1.49364522,0.60120587,2.43169077,-4.41386849,-4.34724044,6.65536284
0.98333530,1.01010670,1.42737276,0.52393004,2.39181106,-4.37574688,-4.34726398,6.61563489
1.00000200,1.02982563,1.37534818,0.44947553,2.35193135,-4.33762526,-4.34728751,6.57612976
1.01666870,1.09133109,1.27723130,0.38282894,2.31205164,-4.29950365,-4.34731104,6.53685151
1.03333540,1.13184607,1.20119770,0.31642492,2.27217193,-4.26138203,-4.34733458,6.49780424
