t,x,y,z,vx,vy,vz,speed
0.00000000,0.16319858,1.07070714,0.98538155,-0.41246261,3.56869193,1.80357039,4.01977035
0.01666670,0.15649384,1.14547840,1.00752118,-0.39239085,3.55699589,1.82430393,4.01674933
0.03333340,0.15236894,1.20592445,1.03443285,-0.37231909,3.54529986,1.84503746,4.01396759
0.05000010,0.14807021,1.26028385,1.06788393,-0.35224733,3.53360382,1.86577099,4.01142562
0.06666680,0.14286744,1.31505745,1.10227795,-0.33217557,3.52190778,1.88650453,4.00912389
0.08333350,0.13661669,1.37348101,1.13654159,-0.31210381,3.51021174,1.90723806,4.00706280
0.10000020,0.12899085,1.42958755,1.17029786,-0.25663320,3.43108751,1.93559204,3.94775109
0.11666690,0.12167950,1.48673058,1.20017841,-0.18652077,3.34813208,1.93740594,3.87276648
0.13333360,0.11642281,1.54884002,1.23071060,-0.09895843,3.22709465,1.91067162,3.75161281
0.15000030,0.11267772,1.61127976,1.26366181,0.00372678,3.06561129,1.86935375,3.59060857
0.16666700,0.11871245,1.66591221,1.29550264,0.11370781,2.87588247,1.82174566,3.40622763
0.18333370,0.12412077,1.70879564,1.32681670,0.20255085,2.67238932,1.76503226,3.20905444
0.20000040,0.12971958,1.74528306,1.35880478,0.26399571,2.45861070,1.69103310,2.99567242
0.21666710,0.13571293,1.77874529,1.38629981,0.29799350,2.24641887,1.58456859,2.76515017
0.23333380,0.14308527,1.81324798,1.41118458,0.31174169,2.06173972,1.43500938,2.53124583
0.25000050,0.15100673,1.84775580,1.43626547,0.30769310,1.92152288,1.25701021,2.31667864
0.26666720,0.15238488,1.87914026,1.45860799,0.32508623,1.82284010,1.06585095,2.13646094
0.28333390,0.15464351,1.90917292,1.47617562,0.33854822,1.73176324,0.87181868,1.96816835
0.30000060,0.15848371,1.93710018,1.48959052,0.34595537,1.62717767,0.68305024,1.79831864
0.31666730,0.16472772,1.96273078,1.49503290,0.34680666,1.50207187,0.49651718,1.61957528
0.33333400,0.17235730,1.98688412,1.49792789,0.34790569,1.36963903,0.31239610,1.44725283
0.35000070,0.18491352,2.01167523,1.50174675,0.34808295,1.23871815,0.14474411,1.29481090
0.36666740,0.19022233,2.03215657,1.50436525,0.32908589,1.10919770,-0.01313143,1.15706071
0.38333410,0.19450395,2.04809065,1.50341934,0.30049079,0.98793808,-0.16242383,1.04532190
0.40000080,0.19786499,2.06097339,1.50016787,0.27006143,0.88083369,-0.30812920,0.97146527
0.41666750,0.20153944,2.07332919,1.49396414,0.23749488,0.78012551,-0.46832007,0.94038466
0.43333420,0.20338653,2.08449044,1.48646166,0.20933956,0.68255977,-0.63992295,0.95875558
0.45000090,0.20517812,2.09468951,1.47327458,0.20662671,0.59452886,-0.81386777,1.02885369
0.46666760,0.20950712,2.10478915,1.45827391,0.21454947,0.51217253,-0.99219234,1.13701267
0.48333430,0.21519904,2.11558993,1.43991093,0.23075528,0.42718729,-1.17780908,1.27395887
