ax,ay,az,speed,t,vx,vy,vz,x,y,z
2.41169179,-8.45656989,-9.36434912,5.85646551,0.00000000,-0.42333180,4.36017268,3.88688470,0.31346913,1.10385083,1.17690046
2.41198423,-8.45701629,-9.36398610,5.64491937,0.01666666,-0.38255610,4.21861276,3.73122927,0.28870513,1.19731088,1.23145845
2.41218198,-8.45729607,-9.36399991,5.43353814,0.03333333,-0.34184073,4.07719754,3.57532402,0.27510419,1.27198550,1.29778817
2.41232606,-8.45747787,-9.36408186,5.22244153,0.05000000,-0.30117698,3.93591896,3.41931717,0.26771380,1.33493257,1.36401413
2.41242779,-8.45766077,-9.36403776,5.01166682,0.06666666,-0.26059137,3.79465311,3.26335781,0.26520719,1.39624692,1.42267414
2.41249791,-8.45792260,-9.36425079,4.80093423,0.08333333,-0.22009973,3.65323768,3.10714982,0.26639361,1.46389413,1.48858670
2.41256588,-8.45816637,-9.36416286,4.59064132,0.10000003,-0.17965192,3.51179765,2.95109983,0.26787280,1.52801168,1.54026085
2.41264690,-8.45840904,-9.36381260,4.38085640,0.11666663,-0.13920209,3.37030708,2.79527384,0.26790945,1.59039724,1.57917056
2.41271080,-8.45861834,-9.36399944,4.17129268,0.13333333,-0.09881635,3.22882503,2.63905416,0.27016361,1.64780125,1.63615580
2.41275748,-8.45885510,-9.36399146,3.96224213,0.15000003,-0.05851406,3.08724910,2.48290792,0.27475822,1.70649722,1.68302391
2.41280488,-8.45896198,-9.36402271,3.75392633,0.16666663,-0.01826426,2.94586672,2.32669262,0.27967889,1.75040159,1.72882735
2.41285201,-8.45901213,-9.36429180,3.54630651,0.18333333,0.02193118,2.80463169,2.17021887,0.28515232,1.78689839,1.78127714
2.41288052,-8.45905479,-9.36450696,3.33958893,0.20000003,0.06201728,2.66348818,2.01366303,0.29350472,1.82087563,1.82918891
2.41288160,-8.45912867,-9.36446457,3.13400230,0.21666663,0.10194052,2.52236233,1.85722019,0.30598493,1.85616103,1.86475078
2.41289110,-8.45918242,-9.36450067,2.92969873,0.23333333,0.14176189,2.38133065,1.70067709,0.31855354,1.88738840,1.90095011
2.41293653,-8.45923421,-9.36450075,2.72699449,0.25000003,0.18156253,2.24037269,1.54410629,0.32810539,1.91628983,1.93339905
2.41301655,-8.45928151,-9.36446355,2.52628121,0.26666663,0.22137536,2.09949588,1.38751820,0.33489120,1.94248037,1.96207420
2.41311026,-8.45937872,-9.36450012,2.32792575,0.28333333,0.26117528,1.95859571,1.23082437,0.34145447,1.97142121,1.99128728
2.41322062,-8.45945203,-9.36415066,2.13289973,0.30000003,0.30097943,1.81778173,1.07440318,0.34747697,1.99548048,2.00330511
2.41334091,-8.45951833,-9.36404361,1.94190788,0.31666663,0.34078082,1.67704204,0.91782604,0.35377966,2.01628728,2.02235695
2.41345505,-8.45959280,-9.36374100,1.75639422,0.33333333,0.38053643,1.53635537,0.76139665,0.36231547,2.03528815,2.03154314
2.41353217,-8.45970731,-9.36379261,1.57798022,0.35000003,0.42013819,1.39565484,0.60469252,0.37687637,2.05566270,2.05207884
2.41369183,-8.45981576,-9.36395108,1.40962893,0.36666663,0.45987173,1.25500480,0.44781096,0.38329607,2.07263247,2.07447770
2.41381539,-8.45995515,-9.36394652,1.25534652,0.38333333,0.49948836,1.11434021,0.29095042,0.39572667,2.08992948,2.08838371
2.41397913,-8.46009923,-9.36406512,1.12102282,0.40000003,0.53914969,0.97369318,0.13390801,0.40514320,2.10483701,2.10488657
2.41412549,-8.46026286,-9.36376180,1.01459171,0.41666663,0.57872801,0.83303463,-0.02288093,0.41844710,2.11884751,2.10298932
2.41433725,-8.46042589,-9.36330858,0.94556279,0.43333333,0.61842728,0.69239381,-0.17952018,0.42578886,2.12988403,2.09315933
2.41458427,-8.46060216,-9.36296849,0.92234727,0.45000003,0.65823346,0.55174816,-0.33619514,0.43065438,2.13934344,2.08551370
2.41484776,-8.46079240,-9.36249258,0.94823997,0.46666663,0.69812921,0.41109014,-0.49272664,0.43514121,2.14729367,2.07042142
2.41513201,-8.46099737,-9.36188926,1.01945070,0.48333333,0.73814188,0.27041146,-0.64907930,0.43857982,2.15381435,2.04815555
2.41542641,-8.46122294,-9.36126634,1.12740173,0.50000003,0.77826375,0.12969254,-0.80530743,0.44204397,2.15952589,2.02281116
2.41570709,-8.46147963,-9.36079744,1.26275785,0.51666663,0.81843699,-0.01110093,-0.96155867,0.44821288,2.16554694,2.00103248
2.41597463,-8.46175289,-9.36027229,1.41760909,0.53333333,0.85864474,-0.15196225,-1.11769952,0.45689671,2.17045867,1.97466920
2.41621591,-8.46204715,-9.35958141,1.58612443,0.55000003,0.89883139,-0.29291208,-1.27361507,0.46959221,2.17480675,1.93943916
2.41648064,-8.46233849,-9.35882630,1.76443084,0.56666663,0.93910617,-0.43391850,-1.42933919,0.48031717,2.17624337,1.89917606
2.41672275,-8.46265177,-9.35802770,1.94977449,0.58333333,0.97936615,-0.57502924,-1.58486714,0.49448940,2.17742066,1.85458762
2.41699615,-8.46296944,-9.35781382,2.14079769,0.60000003,1.01973887,-0.71622815,-1.74073680,0.50561469,2.17666965,1.82986037
2.41725037,-8.46330035,-9.35762666,2.33591677,0.61666663,1.06012079,-0.85753914,-1.89664907,0.51960687,2.17503427,1.80348638
2.41754862,-8.46362080,-9.35710510,2.53401865,0.63333333,1.10067361,-0.99892900,-2.05229359,0.52881211,2.17023229,1.76152538
2.41786670,-8.46394954,-9.35654652,2.73456173,0.65000003,1.14139087,-1.14043189,-2.20782016,0.53588621,2.16433058,1.71540159
2.41819024,-8.46426908,-9.35586285,2.93696410,0.66666663,1.18226713,-1.28202552,-2.36313629,0.54228153,2.15569006,1.66165287
2.41850384,-8.46457745,-9.35513408,3.14086306,0.68333333,1.22327883,-1.42370578,-2.51826757,0.54956500,2.14425971,1.60328311
2.41879279,-8.46487258,-9.35453916,3.34606910,0.70000003,1.26438714,-1.56546774,-2.67335264,0.55924915,2.12996831,1.54711747
2.41903291,-8.46515732,-9.35391214,3.55224921,0.71666663,1.30550836,-1.70731579,-2.82828484,0.57404200,2.11324747,1.48668647
2.41923924,-8.46544573,-9.35361376,3.75948907,0.73333333,1.34664109,-1.84928036,-2.98336689,0.59205838,2.09567900,1.43586068
2.41937364,-8.46570046,-9.35315143,3.96731370,0.75000003,1.38764851,-1.99130107,-3.13826857,0.61784387,2.07358872,1.37561103
2.41957280,-8.46595161,-9.35289139,4.17595826,0.76666663,1.42884945,-2.13342378,-3.29325365,0.63509072,2.05018973,1.32003571
2.41977793,-8.46615449,-9.35235278,4.38498130,0.78333333,1.47017635,-2.27556926,-3.44795984,0.65062326,2.02103763,1.25055065
2.41995523,-8.46632267,-9.35185113,4.59442813,0.80000003,1.51156109,-2.41773941,-3.60256701,0.66830344,1.98760942,1.17926283
2.42005592,-8.46644501,-9.35197495,4.80457885,0.81666663,1.55284909,-2.55989755,-3.75760059,0.69388294,1.94882505,1.12886473
2.42015790,-8.46651438,-9.35191063,5.01500581,0.83333333,1.59418817,-2.70200568,-3.91254555,0.71807548,1.90397370,1.06800733
2.42019966,-8.46649053,-9.35175360,5.22556866,0.85000003,1.63542264,-2.84395210,-4.06741897,0.74822459,1.84888635,1.00037897
2.42021210,-8.46641113,-9.35154532,5.43624605,0.86666663,1.67658309,-2.98574714,-4.22222149,0.78074691,1.78728333,0.92756717
2.42012743,-8.46619890,-9.35140798,5.64689900,0.88333333,1.71745103,-3.12719751,-4.37703850,0.82393964,1.71102842,0.85427250
2.42007351,-8.46605236,-9.35136439,5.85777164,0.90000003,1.75828203,-3.26859912,-4.53190828,0.86284270,1.64014833,0.78137271
2.41996179,-8.46588891,-9.35161601,6.06887507,0.91666663,1.79886731,-3.40984234,-4.68703490,0.90826577,1.56595172,0.71667090
2.41989356,-8.46578778,-9.35196448,6.28027617,0.93333333,1.83942993,-3.55107480,-4.84233767,0.94841192,1.49633896,0.65258283
2.41975690,-8.46566805,-9.35206519,6.49160566,0.95000003,1.87970398,-3.69218555,-4.99754168,0.99688884,1.42286803,0.57586856
